id_event,Real,Estimation
2015_01_29 06_17_05_M2_6,2.59999990463,2.74132
2015_01_23 01_25_37_M4_4,4.40000009537,4.49721
2014_04_11 19_08_34_M3_1,3.09999990463,3.06846
2014_03_24 19_59_42_M4_6,4.59999990463,3.98011
2014_06_14 16_11_29_M3_9,3.90000009537,4.15153
2014_06_07 19_10_58_M4_8,4.80000019073,4.52248
2014_04_20 07_54_56_M5_0,5.0,4.50957
2019_06_14 00_19_12_M6_4,6.40000009537,6.11976
2014_05_20 09_19_05_M2_4,2.40000009537,2.51857
2015_10_23 14_47_58_M4_5,4.5,4.13124
2014_07_02 12_08_48_M3_1,3.09999990463,3.05953
2014_01_04 08_25_35_M3_7,3.70000004768,4.3804
2014_06_20 15_43_19_M2_4,2.40000009537,2.36815
2015_09_19 13_35_54_M3_7,3.70000004768,3.97974
2014_03_27 02_32_21_M2_4,2.40000009537,2.51398
2019_03_28 21_00_51_M4_2,4.19999980927,4.47119
2014_06_21 07_22_34_M2_7,2.70000004768,2.52043
2014_06_07 07_48_35_M3_0,3.0,2.69721
2015_03_01 07_46_24_M3_2,3.20000004768,3.08988
2014_03_29 18_00_25_M3_0,3.0,2.84577
2014_06_19 19_59_45_M5_3,5.30000019073,5.1603
2015_11_07 07_04_31_M6_2,6.19999980927,6.08033
2014_03_20 11_40_16_M3_1,3.09999990463,3.13806
2014_07_08 17_19_43_M2_8,2.79999995232,2.57626
2014_04_26 20_36_57_M3_4,3.40000009537,3.39588
2014_07_04 19_58_08_M2_3,2.29999995232,2.13203
2014_03_16 21_16_28_M6_7,6.69999980927,6.5318
2014_05_01 09_39_40_M2_5,2.5,2.64114
2020_06_19 05_39_16_M3_0,3.0,3.03312
2016_06_06 13_21_59_M5_4,5.40000009537,5.94865
2014_04_02 14_10_49_M3_5,3.5,3.33606
2014_04_03 11_50_45_M4_6,4.59999990463,4.61333
2014_03_23 20_23_04_M5_3,5.30000019073,5.11335
2014_01_22 17_36_50_M3_6,3.59999990463,3.18975
2014_03_19 12_23_14_M3_5,3.5,3.71801
2014_06_10 06_14_24_M3_5,3.5,3.15509
2014_04_04 07_13_19_M3_8,3.79999995232,3.90814
2014_04_24 04_56_50_M4_8,4.80000019073,5.18407
2014_03_19 16_59_06_M2_9,2.90000009537,2.97305
2014_03_27 07_32_11_M2_6,2.59999990463,2.46784
2014_04_04 11_29_08_M2_7,2.70000004768,2.58994
2020_10_06 11_32_48_M3_7,3.70000004768,3.60918
2014_04_03 15_08_07_M5_3,5.30000019073,4.98073
2014_07_13 20_54_14_M5_6,5.59999990463,5.58631
2014_06_28 15_47_41_M3_8,3.79999995232,4.11384
